Exam,Day,Time,Courses
MID EXAM,Day 1,9:00 AM - 11:00 AM,ENG 101/ENG 1011 (BSCSE/BSDS)
MID EXAM,Day 1,9:00 AM - 11:00 AM,CSE 308/CSE 4509
MID EXAM,Day 1,9:00 AM - 11:00 AM,IPE 401/ IPE 3401 (BSCSE/BSDS)
MID EXAM,Day 1,11:30 AM - 1:30 PM,ENG 1013/ENG 103 (BSCSE/BSDS)
MID EXAM,Day 1,11:30 AM - 1:30 PM,TEC 2499 (BSCSE/BSDS)
MID EXAM,Day 1,11:30 AM - 1:30 PM,DS 3886 (BSDS)
MID EXAM,Day 1,2:00 PM - 4:00 PM,MATH 183/ MATH 2183 (BSCSE) MATH 2107 (BSDS)
MID EXAM,Day 1,2:00 PM - 4:00 PM,CSI 313/CSE 3313
MID EXAM,Day 1,2:00 PM - 4:00 PM,SOC 101/ SOC 2101 (BSCSE) SOC 2102 (BSDS)
MID EXAM,Day 1,2:00 PM - 4:00 PM,489 (Op II)/ CSE 4889 (Elective)
MID EXAM,Day 2,9:00 AM - 11:00 AM,CSI 411/CSE 4611 (Elective)
MID EXAM,Day 2,9:00 AM - 11:00 AM,CSI 421/CSE 4621 (Elective)
MID EXAM,Day 2,9:00 AM - 11:00 AM,CSI 221/ CSE 3521(BSCSE/BSDS)
MID EXAM,Day 2,9:00 AM - 11:00 AM,CSE 1110/ CSE 1110 (Only Final Exam)
MID EXAM,Day 2,11:30 AM - 1:30 PM,CSE 425/ CSE 4325
MID EXAM,Day 2,11:30 AM - 1:30 PM,CSE 1110 (Only Final Exam) Rest of (If any)
MID EXAM,Day 2,2:00 PM - 4:00 PM,ACT 111/ ACT 2111 (BSCSE/BSDS)
MID EXAM,Day 2,2:00 PM - 4:00 PM,STAT 205/ MATH 2205 (BSCSE/BSDS)
MID EXAM,Day 2,2:00 PM - 4:00 PM,CSE 497 (Op II)/ CSE 4587 (Elective)
MID EXAM,Day 2,2:00 PM - 4:00 PM,CSE 493 (Op II)/ CSE 4893 (Elective)
MID EXAM,Day 3,9:00 AM - 11:00 AM,CSI 341/ CSE 3811
MID EXAM,Day 3,9:00 AM - 11:00 AM,CSE 445/ CSI 451 (Elective/Opt II)
MID EXAM,Day 3,11:30 AM - 1:30 PM,CSI 219/ CSE 2213 (BSCSE/BSDS)
